2026-06-09 22:20:15 - GET /docs - 200 - 1.11ms
2026-06-09 22:20:17 - GET /logs/stream - 200 - 2.74ms
2026-06-09 22:20:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:20:35 - GET /logs/stream - 200 - 1.00ms
2026-06-09 22:20:35 - GET /docs - 200 - 1.01ms
2026-06-09 22:20:45 - GET /docs - 200 - 1.11ms
2026-06-09 22:20:53 - GET /logs/stream - 200 - 2.53ms
2026-06-09 22:20:55 - GET /docs - 200 - 2.69ms
2026-06-09 22:21:05 - GET /docs - 200 - 1.00ms
2026-06-09 22:21:11 - GET /logs/stream - 200 - 2.10ms
2026-06-09 22:21:15 - GET /docs - 200 - 1.37ms
2026-06-09 22:21:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:21:29 - GET /logs/stream - 200 - 1.01ms
2026-06-09 22:21:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:21:45 - GET /docs - 200 - 1.02ms
2026-06-09 22:21:47 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:21:55 - GET /docs - 200 - 1.25ms
2026-06-09 22:22:05 - GET /logs/stream - 200 - 1.56ms
2026-06-09 22:22:05 - GET /docs - 200 - 1.00ms
2026-06-09 22:22:15 - GET /docs - 200 - 1.08ms
2026-06-09 22:22:23 - GET /logs/stream - 200 - 1.60ms
2026-06-09 22:22:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:22:35 - GET /docs - 200 - 3.60ms
2026-06-09 22:22:41 - GET /logs/stream - 200 - 1.73ms
2026-06-09 22:22:45 - GET /docs - 200 - 1.04ms
2026-06-09 22:22:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:22:59 - GET /logs/stream - 200 - 1.02ms
2026-06-09 22:23:05 - GET /docs - 200 - 1.03ms
2026-06-09 22:23:15 - GET /docs - 200 - 1.01ms
2026-06-09 22:23:17 - GET /logs/stream - 200 - 0.99ms
2026-06-09 22:23:25 - GET /docs - 200 - 1.12ms
2026-06-09 22:23:35 - GET /logs/stream - 200 - 1.71ms
2026-06-09 22:23:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:23:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:23:53 - GET /logs/stream - 200 - 1.82ms
2026-06-09 22:23:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:24:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:24:11 - GET /logs/stream - 200 - 1.62ms
2026-06-09 22:24:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:24:25 - GET /docs - 200 - 1.28ms
2026-06-09 22:24:29 - GET /logs/stream - 200 - 2.02ms
2026-06-09 22:24:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:24:45 - GET /docs - 200 - 1.01ms
2026-06-09 22:24:47 - GET /logs/stream - 200 - 1.00ms
2026-06-09 22:24:55 - GET /docs - 200 - 1.02ms
2026-06-09 22:25:05 - GET /docs - 200 - 0.43ms
2026-06-09 22:25:05 - GET /logs/stream - 200 - 1.22ms
2026-06-09 22:25:15 - GET /docs - 200 - 1.02ms
2026-06-09 22:25:23 - GET /logs/stream - 200 - 1.08ms
2026-06-09 22:25:25 - GET /docs - 200 - 1.02ms
2026-06-09 22:25:35 - GET /docs - 200 - 1.03ms
2026-06-09 22:25:41 - GET /logs/stream - 200 - 1.04ms
2026-06-09 22:25:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:25:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:25:59 - GET /logs/stream - 200 - 1.68ms
2026-06-09 22:26:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:26:15 - GET /docs - 200 - 1.00ms
2026-06-09 22:26:17 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:26:25 - GET /docs - 200 - 0.99ms
2026-06-09 22:26:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:26:35 - GET /logs/stream - 200 - 1.01ms
2026-06-09 22:26:45 - GET /docs - 200 - 1.00ms
2026-06-09 22:26:53 - GET /logs/stream - 200 - 2.05ms
2026-06-09 22:26:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:27:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:27:12 - GET /logs/stream - 200 - 1.04ms
2026-06-09 22:27:15 - GET /docs - 200 - 1.10ms
2026-06-09 22:27:25 - GET /docs - 200 - 0.51ms
2026-06-09 22:27:30 - GET /logs/stream - 200 - 0.78ms
2026-06-09 22:27:35 - GET /docs - 200 - 2.09ms
2026-06-09 22:27:45 - GET /docs - 200 - 1.03ms
2026-06-09 22:27:48 - GET /logs/stream - 200 - 2.64ms
2026-06-09 22:27:55 - GET /docs - 200 - 1.04ms
2026-06-09 22:28:05 - GET /docs - 200 - 2.62ms
2026-06-09 22:28:06 - GET /logs/stream - 200 - 1.63ms
2026-06-09 22:28:15 - GET /docs - 200 - 1.85ms
2026-06-09 22:28:24 - GET /logs/stream - 200 - 2.80ms
2026-06-09 22:28:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:28:35 - GET /docs - 200 - 0.51ms
2026-06-09 22:28:42 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:28:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:28:55 - GET /docs - 200 - 0.00ms
2026-06-09 22:29:00 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:29:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:29:15 - GET /docs - 200 - 0.60ms
2026-06-09 22:29:18 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:29:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:29:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:29:36 - GET /logs/stream - 200 - 1.00ms
2026-06-09 22:29:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:29:54 - GET /logs/stream - 200 - 0.61ms
2026-06-09 22:29:55 - GET /docs - 200 - 2.07ms
2026-06-09 22:30:05 - GET /docs - 200 - 0.00ms
2026-06-09 22:30:12 - GET /logs/stream - 200 - 2.67ms
2026-06-09 22:30:15 - GET /docs - 200 - 0.00ms
2026-06-09 22:30:25 - GET /docs - 200 - 0.00ms
2026-06-09 22:30:30 - GET /logs/stream - 200 - 4.08ms
2026-06-09 22:30:35 - GET /docs - 200 - 0.00ms
2026-06-09 22:30:45 - GET /docs - 200 - 0.00ms
2026-06-09 22:30:48 - GET /logs/stream - 200 - 0.00ms
2026-06-09 22:30:55 - GET /docs - 200 - 1.76ms
2026-06-09 22:31:05 - GET /docs - 200 - 1.03ms
2026-06-09 22:31:06 - GET /logs/stream - 200 - 1.11ms
2026-06-09 22:31:15 - GET /docs - 200 - 2.08ms
2026-06-09 22:31:32 - GET / - 200 - 0.63ms
2026-06-09 22:31:33 - GET /docs - 200 - 0.54ms
2026-06-09 22:31:33 - GET /.well-known/appspecific/com.chrome.devtools.json - 404 - 1.60ms
2026-06-09 22:31:33 - GET /favicon.ico - 404 - 0.00ms
2026-06-09 22:31:43 - GET /docs - 200 - 1.12ms
